ID	Title	Date	Language	Genre	averageRating	numVotes
22158933	Exodus: Tales from the Enchanted Kingdom	2005-12-25	"{""/m/07qv_"": ""Tagalog language"", ""/m/01jb8r"": ""Filipino language"", ""/m/02h40lc"": ""English Language""}"	"{""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/0gxblw4"": ""Filipino Movies"", ""/m/03q4nz"": ""World cinema""}"	5	62
22161712	A Case of Deadly Force	1986-04-09	"{""/m/02h40lc"": ""English Language""}"	"{""/m/07s9rl0"": ""Drama"", ""/m/01f9r0"": ""Docudrama"", ""/m/05bh16v"": ""Courtroom Drama""}"	6.3	166
22162507	Slayer	2006-07-08	"{""/m/02h40lc"": ""English Language""}"	"{""/m/02kdv5l"": ""Action"", ""/m/03npn"": ""Horror"", ""/m/0219x_"": ""Indie"", ""/m/015w9s"": ""Television movie""}"	7.6	67
22162979	Darfur	2010	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/02qfv5d"": ""Political thriller"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film"", ""/m/02kdv5l"": ""Action"", ""/m/03mqtr"": ""Political drama""}"	5.9	2444
22165686	The Unidentified	2008-06	"{""/m/02h40lc"": ""English Language""}"	"{""/m/06cvj"": ""Romantic comedy"", ""/m/0219x_"": ""Indie"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}"	6.6	80
22174418	Malaysian Gods	2009-04-18	"{""/m/07c9s"": ""Tamil Language""}"	"{""/m/0hj3n07"": ""Culture & Society""}"	6.7	9
22178122	That Lady in Ermine	1948-08-24	"{""/m/02h40lc"": ""English Language""}"	"{""/m/04t36"": ""Musical"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy""}"	5.9	644
22180695	Fair Game	2010-05-20	"{""/m/064_8sq"": ""French Language"", ""/m/0jzc"": ""Arabic Language"", ""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/017fp"": ""Biography"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation"", ""/m/02kdv5l"": ""Action"", ""/m/03mqtr"": ""Political drama""}"	8.3	7
22199055	Bugs Bunny's Overtures to Disaster	1991	"{""/m/02h40lc"": ""English Language""}"	"{""/m/0hj3myq"": ""Children's/Family""}"	7.2	35
22208692	Quacker Tracker	1967-04-29	"{""/m/02h40lc"": ""English Language""}"	"{""/m/02hmvc"": ""Short Film"", ""/m/0hqxf"": ""Family Film"", ""/m/0hcr"": ""Animation""}"	5.5	114
22210654	Gabriela, Cravo e Canela	1983-10-06	"{""/m/05zjd"": ""Portuguese Language""}"	"{""/m/05p553"": ""Comedy film"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}"	6.3	991
